id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20800825,Cabaña de montaña a tan solo 10 min de Santiago,149132313,Carolina Paz,,Lo Barnechea,-33.36949,-70.42536,Entire home/apt,56140,2,7,2018-09-02,0.12,1,356,0,
20803199,Espacioso Loft Étnico en el Barrio Bellavista,120132610,Osvaldo,,Recoleta,-33.43158,-70.63706,Entire home/apt,43714,2,226,2022-09-11,3.75,2,254,43,
20803397,"Providencia, lo mejor! Casa, jardín, parking.",142097383,Patrick,,Providencia,-33.42897,-70.59725,Entire home/apt,85714,35,38,2020-03-09,0.71,1,81,0,
20803616,Depto pleno centro de stgo amplio y comodo,104707454,Victor Ariel,,Santiago,-33.45045,-70.65589,Private room,30000,1,19,2022-05-22,0.32,2,334,1,
20815864,Departamento en el centro de la ciudad,149282424,Marcela,,Santiago,-33.44971,-70.64876,Entire home/apt,25600,3,0,,,1,88,0,
20817422,Beautiful Place in Lastarria,109396697,Pamela,,Santiago,-33.43997,-70.64168,Private room,25263,2,1,2018-02-09,0.02,1,205,0,
20830266,Luminous house in La Reina,22417060,Verónica,,La Reina,-33.43874,-70.5643,Private room,18535,1,4,2019-05-31,0.07,1,171,0,
20845334,Kennedy Modern | Fantastic 2-Bedroom in Las Condes,60236912,Oasis Collections,,Las Condes,-33.399845,-70.571075,Entire home/apt,137542,14,3,2022-02-27,0.15,7,86,1,
20870365,Pieza en casa de La Reina,36388591,Francisco Javier,,La Reina,-33.44556,-70.56777,Private room,13000,5,0,,,1,180,0,
20874884,Providencia Mall Costanera Center Conserje 24 hrs,148996364,Rodrigo,,Providencia,-33.42214,-70.60822,Entire home/apt,33571,2,215,2022-09-14,3.52,1,9,48,
20874936,Linda y Espaciosa Casa,149884401,Patricio Alejandro,,Pudahuel,-33.45028,-70.84017,Private room,120000,2,4,2021-12-05,0.10,1,365,1,
20887599,"Departamento amoblado , Barrio el Golf",150025777,Josefina,,Las Condes,-33.41304,-70.5881,Entire home/apt,55000,4,43,2022-09-15,0.71,1,278,20,
20887709,Family friendly apartment in Providencia,24285305,Carolina Y Pablo,,Providencia,-33.44115,-70.62783,Entire home/apt,71429,4,17,2020-02-01,0.29,1,110,0,
20888605,"Depto. Parque Bustamante Santiago, 4 + 1 personas",150039717,Romina,,Santiago,-33.445,-70.63409,Entire home/apt,35000,2,32,2019-10-14,0.53,1,61,0,
20897594,Exclusivo Departamento con acceso directo a cancha,66040845,Oscar,,Lo Barnechea,-33.33318,-70.28839,Entire home/apt,450000,5,7,2022-07-20,0.14,1,356,1,
20898633,"Espectacular ubicacion, depto muy practico",133485377,Maximiliano,,Santiago,-33.44371,-70.64276,Entire home/apt,12286,2,2,2017-09-24,0.03,1,0,0,
20899906,"Se arrienda habitación por día, conversable.",150152290,Alan,,La Cisterna,-33.53202,-70.66964,Private room,25000,1,0,,,1,89,0,
20901549,Grande habitación limpia y bonita con Cuba,147299305,Reynier,,Santiago,-33.44021,-70.6586,Private room,46783,1,0,,,1,365,0,
20902006,"Excelente Habitacion, inmejorable ubicación,",150174043,Alvaro,,Las Condes,-33.4293,-70.57746,Private room,30000,7,0,,,1,364,0,
20910914,Habitación. Barrio Central y Patrimonio Histórico.,148401988,Marisol,,Providencia,-33.43752,-70.62915,Private room,23000,2,61,2020-01-02,1.03,1,363,0,
20911638,Your cool and practical headquarters,140109830,Juane,,Recoleta,-33.43283,-70.63694,Entire home/apt,25000,2,196,2022-09-02,3.21,2,202,47,
20913549,New Apt Parking+Metro // Terraza+BBQ+Cordillera,4193292,Christian,,Las Condes,-33.40511,-70.55485,Entire home/apt,49500,3,34,2022-01-01,0.58,1,83,1,
20915240,Pieza amoblada con walking closet y baño privado,150309434,Gonzalo Ignacio,,Ñuñoa,-33.45177,-70.61183,Private room,30000,2,0,,,1,90,0,
20924631,No disponible,82118227,Ale,,Providencia,-33.44293,-70.60561,Private room,9990,1,37,2018-09-22,0.61,1,264,0,
20933925,Excelente  ubicacion en el centro de santiago,149453112,Antonio,,Santiago,-33.44766,-70.65296,Entire home/apt,17778,90,12,2022-07-16,0.20,1,334,2,
20945452,Apartamento Departamento LINDO Costanera Center,150610338,Oscar,,Providencia,-33.42006,-70.60687,Private room,61482,1,2,2017-10-01,0.03,1,0,0,
20960352,Beautiful Apartment in Bellas Artes/City Center.,150762132,Oriana,,Santiago,-33.43507,-70.64599,Entire home/apt,34999,3,170,2022-08-23,2.79,6,76,46,
20988438,"Increíble Duplex a nuevo, Mall Costanera Center",32000775,Daniel,,Las Condes,-33.41607,-70.60371,Entire home/apt,73286,3,143,2022-09-02,2.37,2,222,7,
20997516,Refurbished Apartment with Beautiful Patio,10381147,Paloma,,Santiago,-33.4408,-70.64799,Entire home/apt,40364,1,242,2022-09-15,3.99,4,122,65,
21014142,Comfortable Apartment in the Heart of Providencia,130324070,Valeria,,Providencia,-33.42965,-70.61915,Entire home/apt,79531,3,93,2022-01-26,1.54,2,233,1,
21024915,"Departamento ideal para viajeros, zona turística",98838083,Francisca,,Santiago,-33.43754,-70.6635,Entire home/apt,38000,2,0,,,1,347,0,
21028144,Stgo Centro Vista Full!! /Metro/ Parking/ubicación,7005888,Francisco,,Santiago,-33.44897,-70.64348,Entire home/apt,47429,2,60,2020-03-07,1.10,1,231,0,
21030214,Santa Isabel,101670733,Fabian,,Santiago,-33.45029,-70.64632,Entire home/apt,36000,5,21,2022-08-22,0.39,1,50,8,
21040784,Dormitorio en suite,151552321,Mariela,,Lo Barnechea,-33.33093,-70.507,Private room,10000,3,1,2019-01-05,0.02,1,236,0,
21044224,Duplex - Barrio Bellas Artes,6908494,Vicente,,Santiago,-33.43873,-70.64411,Entire home/apt,23990,4,36,2020-01-20,0.62,1,49,0,
21050943,Departamento en Santiago a metros del centro Hist.,51333871,Antonio,,Santiago,-33.44224,-70.65856,Entire home/apt,35000,10,61,2022-06-16,1.01,1,257,4,
21054811,Te sentirás acogido como en tu casa,6989507,Cosette,,Macul,-33.483951568603516,-70.59950256347656,Private room,12714,2,27,2022-07-31,0.45,1,362,10,
21058097,Glass House,151708679,Rieloff Rocco,,Vitacura,-33.40086,-70.58538,Private room,37062,3,1,2021-08-11,0.07,1,0,0,
21065578,"Depto. nuevo, especial para parejas, wifi y cable",133397014,Rodrigo,,Ñuñoa,-33.45051,-70.62865,Entire home/apt,34286,5,178,2022-09-16,2.93,1,84,30,
21068650,"Habitación privada Ñuñoa , casa compartida jóvenes",151458271,Simon,,Ñuñoa,-33.44814,-70.60902,Private room,12000,7,0,,,1,364,0,
21078465,Departamento Santiago centro,100442332,Angélica,,Santiago,-33.44412,-70.63515,Entire home/apt,40000,5,4,2022-09-08,0.10,2,362,2,
21078729,Casa Las Araucarias,151929992,Carmen,,La Reina,-33.45413,-70.56662,Private room,10000,2,0,,,1,358,0,
21083078,Lovely House in Bellavista . A,99575695,Caro,,Recoleta,-33.43033,-70.64088,Private room,20000,1,35,2021-12-10,0.60,5,45,2,
21088944,Lovely House in Bellavista . B,99575695,Caro,,Recoleta,-33.43023,-70.63931,Private room,20000,30,51,2022-08-01,0.87,5,339,12,
21089143,Lovely House in Bellavista . C,99575695,Caro,,Recoleta,-33.43205,-70.63909,Private room,25000,30,46,2020-08-18,0.78,5,225,0,
21089335,Lovely House in Bellavista . E,99575695,Caro,,Recoleta,-33.43157,-70.64005,Private room,20000,2,12,2022-02-27,0.20,5,343,5,
21106712,Cómoda habitación en Parque O`Higgins,152197921,Ricardo,,Santiago,-33.45815,-70.65373,Private room,15000,2,41,2022-09-02,0.68,1,79,6,
21106715,Nice 2 Bedroom apartment in Providencia near Metro,84535258,Guilherme,,Providencia,-33.434822,-70.627731,Entire home/apt,49000,3,90,2022-08-30,1.52,1,330,24,
21111602,LA MEJOR VISTA DE PROVIDENCIA,57945643,Soledad,,Providencia,-33.43005,-70.61928,Entire home/apt,50000,2,48,2020-02-29,0.80,10,140,0,
21113386,Explore Local Restaurants from a Relaxing Central Apartment,105465561,Mirza,,Providencia,-33.42954,-70.62291,Entire home/apt,26000,20,140,2021-12-31,2.32,10,236,1,
21148534,Hermoso depto 😍 excelente ubicación Providencia,115086638,Alessandro Gianfrancesco,,Providencia,-33.42779,-70.6189,Entire home/apt,42900,2,167,2022-09-02,2.76,1,1,41,
21150430,Dormitorio c/cama 2 plazas/velador/mesita/silla,152610583,Patricia,,Vitacura,-33.40266,-70.60024,Private room,53464,3,3,2018-06-03,0.05,1,177,0,
21169602,Departamento Las Condes.Mejor sector de Santiago!,151278372,Rodrigo,,Las Condes,-33.40629,-70.55821,Entire home/apt,63625,2,2,2018-02-13,0.03,1,0,0,
21187096,Precioso! las Condes P. Arauco! 1108,94780337,Jose,,Las Condes,-33.39977,-70.57167,Hotel room,92955,1,8,2021-09-10,0.14,7,260,0,
21187693,Adorable Estudio!!,153008533,Carolina,,Quinta Normal,-33.43742,-70.69425,Entire home/apt,15786,20,22,2020-06-30,0.38,1,325,0,248787813
21189485,"Depto Providencia, excelente ubicación",117708416,Maricel,,Providencia,-33.4273,-70.61919,Entire home/apt,59000,2,36,2022-09-16,0.60,1,126,17,
21200525,Kennedy Vista Manquehue,27183526,Sergio,,Las Condes,-33.39891,-70.57263,Entire home/apt,94900,5,19,2022-09-04,0.32,1,142,5,
21205459,"Habitacion simple, baño compartido",153181195,Eduardo,,Quinta Normal,-33.42741,-70.67343,Private room,15000,1,21,2022-08-14,0.37,1,358,9,
21205888,"Departamento acogedor, centro de la ciudad  1D, 1B",153185923,Fernanda,,Santiago,-33.45236,-70.63235,Entire home/apt,57143,3,1,2022-03-20,0.16,1,347,1,
21209625,Cómodo y acogedor Departamento en Providencia,124298753,Viviana,,Providencia,-33.43587,-70.61574,Entire home/apt,55000,7,12,2019-10-14,0.21,1,81,0,
21215753,"Casco histórico Santiago/Chile 
Hermoso depto",85553826,Juanita,,Santiago,-33.43748,-70.64945,Entire home/apt,106937,3,0,,,1,364,0,
21215802,Departamento Metro Santa Lucia para 6 personas,23583650,Rodrigo,,Santiago,-33.44664,-70.64265,Entire home/apt,82857,3,0,,,9,268,0,
21217158,Precioso y acogedor Estudio en Providencia.,153294949,Lorena,,Providencia,-33.42485,-70.61147,Entire home/apt,32143,2,111,2022-09-03,1.91,1,243,32,
21224359,"Metro Sta Lucía, pasos Hospital y Clínica Católica",153364384,Yetzabel,,Santiago,-33.44509,-70.64338,Entire home/apt,30000,30,135,2022-07-24,2.29,3,151,12,
21225779,Depto M. Montt,145020399,Betty,,Providencia,-33.43156,-70.61978,Entire home/apt,59500,3,64,2022-09-04,1.12,2,347,24,
21233627,"In the heart of Providencia, 2D+2B",119015934,Claudia,,Providencia,-33.42751,-70.61816,Entire home/apt,105000,5,78,2022-07-31,1.32,1,67,9,
21239991,Excellent homestudio at Providencia O,45457910,Alfonso,,Providencia,-33.42538,-70.6164,Entire home/apt,27134,30,96,2022-05-05,1.61,2,303,4,
21240930,"Room with private bathroom,breakfast, parking,wifi",153526331,Susana,,Vitacura,-33.39269,-70.58323,Private room,93566,3,2,2021-11-30,0.06,1,364,1,
21254778,"New Apart, 2BR 2 Bath ,  Providencia, Santiago.",34121829,Renzo,,Providencia,-33.43226,-70.61762,Entire home/apt,79531,3,57,2021-08-31,0.96,1,3,0,
21271807,tranquilidad absoluta,147904497,María Victoria,,Ñuñoa,-33.44153,-70.57958,Private room,15000,1,1,2022-06-03,0.27,1,51,1,
21276302,Habitacion Privada en Casa en las Condes,117782572,Marina,,Las Condes,-33.4159,-70.5707,Private room,15000,2,3,2022-06-04,0.38,1,262,3,
21277370,Las Condes 1D un dormitorio,151697902,Ivan,,Las Condes,-33.41247,-70.58662,Entire home/apt,36540,1,117,2022-07-22,1.97,6,264,16,
